Name,Rating,League,Team,FaceID,HasImage,Position
"Miguel Sánchez-Rincón (100147)",58,"NISA","California United Strikers FC",100147,0,CB
"Drew Hartman (1001523)",62,"USL Championship","Loudoun United FC",1001523,0,GK
"Dallas Odle (1001790)",62,"USL Championship","Monterey Bay FC",1001790,1,GK
"Dallas Odle (1001790)",67,"MLS","New York Red Bulls II",1001790,1,GK
"Dallas Odle (1001790)",67,"MLS","New York Red Bulls",1001790,1,GK
"Dallas Odle (1001790)",62,"USL Championship","FC Tulsa",1001790,1,GK
"Adisa De Rosario (1001937)",79,"MLS","Toronto FC II",1001937,1,GK
"Adisa De Rosario (1001937)",67,"MLS","Toronto FC",1001937,1,GK
"Kundai Mawoko (1001940)",67,"MLS","Toronto FC II",1001940,0,RB
"Adam Pearlman (1001941)",67,"MLS","Toronto FC II",1001941,1,CB
"Adam Pearlman (1001941)",67,"MLS","Toronto FC",1001941,1,CB
"Paul Walters (1001936)",73,"MLS","FC Cincinnati 2",1001936,1,GK
"Paul Walters (1001936)",67,"MLS","FC Cincinnati",1001936,1,GK
"Paul Walters (1001936)",66,"USL Championship","Hartford Athletic",1001936,1,GK
"Owen Noverr (1001935)",67,"MLS","FC Cincinnati 2",1001935,0,CB
"Alonso Coello (1001938)",70,"MLS","Toronto FC",1001938,1,CM
"Alonso Coello (1001938)",67,"MLS","Toronto FC II",1001938,1,CM
"Max Anchor (1002283)",58,"MLS Next Pro","Whitecaps FC 2",1002283,0,GK
"Max Anchor (1002283)",67,"MLS","Vancouver Whitecaps FC",1002283,0,GK
"Luca Accettola (1001939)",70,"MLS","Toronto FC II",1001939,0,CM
"Omar Valencia (1002223)",67,"MLS","New York Red Bulls II",1002223,1,LB
"Omar Valencia (1002223)",67,"MLS","New York Red Bulls",1002223,1,LB
"Alexander Romero (1002587)",62,"USL Championship","Las Vegas Lights FC",1002587,1,CDM
"Carson Talboys (1003175)",58,"USL League One","Charlotte Independence",1003175,0,CB
"David García (1003600)",69,"MLS","Minnesota United FC 2",1003600,0,RM
"Pol Rodriguez (1004037)",67,"MLS","New York City FC II",1004037,0,GK
"Kamran Acito (1004036)",67,"MLS","New York City FC II",1004036,0,CB
"Stephen Yerian (1004039)",67,"MLS","Columbus Crew 2",1004039,0,GK
"Diego Elizalde (1004040)",67,"MLS","Portland Timbers 2",1004040,0,CM
"Emenike Nwogu (1004048)",67,"MLS","Atlanta United 2",1004048,0,CM
"Joseph Farouz (1004253)",67,"MLS","Houston Dynamo FC 2",1004253,0,CAM
"Manuel Cocca (1004297)",58,"MLS Next Pro","Orlando City B",1004297,0,CB
"Santiago Castañeda (1005509)",62,"USL Championship","Tampa Bay Rowdies",1005509,0,CDM
"Tate Johnson (1005510)",67,"MLS","Vancouver Whitecaps FC",1005510,1,LB
"Tate Johnson (1005510)",58,"MLS Next Pro","Crown Legacy FC",1005510,1,LB
"Tate Johnson (1005510)",62,"USL Championship","Tampa Bay Rowdies",1005510,1,LB
"Eddie Gordon (1005547)",58,"USL League One","Union Omaha",1005547,1,CDM
"Josh Martinez (1005634)",62,"USL Championship","Phoenix Rising FC",1005634,0,CDM
"Daniel Kuzemka (1005636)",62,"USL Championship","Charleston Battery",1005636,1,GK
"Volodymyr Kubrakov (1005974)",67,"MLS","Portland Timbers 2",1005974,0,RB
"Joseph Daher (1006306)",67,"MLS","Toronto FC II",1006306,0,LB
"Aidan Stokes (1006609)",79,"MLS","New York Red Bulls II",1006609,1,GK
"Aidan Stokes (1006609)",67,"MLS","New York Red Bulls",1006609,1,GK
"Etienne Veillard (1006613)",58,"MLS Next Pro","Tacoma Defiance",1006613,0,RW
"Andrew Rick (1006612)",79,"MLS","Philadelphia Union",1006612,1,GK
"Andrew Rick (1006612)",71,"MLS","Philadelphia Union II",1006612,1,GK
"Jack Jeremiah (1006624)",58,"MLS Next Pro","Tacoma Defiance",1006624,0,CDM
"Kairo Walters (1007252)",73,"MLS","Los Angeles FC 2",1007252,1,RW
"Caden Glover (1007384)",66,"MLS Next Pro","St. Louis CITY SC 2",1007384,1,CF
"Kyrome Lumsden (1007388)",62,"USL Championship","North Carolina FC",1007388,1,CM
"Kyrome Lumsden (1007388)",58,"USL League One","North Carolina FC",1007388,1,CM
"Rohan Rajagopal (1007386)",58,"MLS Next Pro","The Town FC",1007386,0,CDM
"Rohan Rajagopal (1007386)",67,"MLS","San Jose Earthquakes II",1007386,0,CDM
"Rubén Ramos (1007381)",72,"MLS Next Pro","Ventura County FC",1007381,1,CAM
"Rubén Ramos (1007381)",66,"MLS Next Pro","Los Angeles Galaxy II",1007381,1,CAM
"Santiago Morales (1007387)",67,"MLS","Inter Miami CF",1007387,1,CM
"Santiago Morales (1007387)",77,"MLS","Inter Miami CF II",1007387,1,CM
"Neil Pierre (1007391)",67,"MLS","Philadelphia Union II",1007391,1,CB
"Neil Pierre (1007391)",67,"MLS","Philadelphia Union",1007391,1,CB
"Zackory Campagnolo (1007397)",73,"MLS","Colorado Rapids 2",1007397,1,GK
"Zackory Campagnolo (1007397)",67,"MLS","Colorado Rapids",1007397,1,GK
"Zackory Campagnolo (1007397)",58,"MLS Next Pro","Orlando City B",1007397,1,GK
"Scott Chavira-Robles (1007393)",58,"MLS Next Pro","The Town FC",1007393,0,CB
"Davi Alexandre (1007394)",67,"MLS","New York Red Bulls II",1007394,1,CB
"Davi Alexandre (1007394)",67,"MLS","New York Red Bulls",1007394,1,CB
"Nighte Pickering (1007712)",71,"USL Championship","Las Vegas Lights FC",1007712,1,CF
"Nighte Pickering (1007712)",62,"USL Championship","Memphis 901 FC (- 2024)",1007712,1,CF
"Bryan Moyado (1007716)",69,"MLS","Los Angeles FC 2",1007716,1,CDM
"Bryan Moyado (1007716)",67,"MLS","Los Angeles FC",1007716,1,CDM
"Stiven Jimenez (1008431)",67,"MLS","FC Cincinnati",1008431,1,CM
"Stiven Jimenez (1008431)",70,"MLS","FC Cincinnati 2",1008431,1,CM
"Daniel Samways (1008455)",67,"MLS","FC Cincinnati 2",1008455,0,CAM
"CJ Olney Jr. (1008440)",64,"USL Championship","Lexington SC",1008440,1,LM
"CJ Olney Jr. (1008440)",77,"MLS","Philadelphia Union II",1008440,1,LM
"CJ Olney Jr. (1008440)",67,"MLS","Philadelphia Union",1008440,1,LM
"Israel Boatwright (1008456)",67,"MLS","Inter Miami CF II",1008456,1,RB
"Israel Boatwright (1008456)",67,"MLS","Inter Miami CF",1008456,1,RB
"Jonathan Munteanu (1008481)",55,"USL League 2","SC United Bantams",1008481,0,GK
"Jonathan Munteanu (1008481)",67,"MLS","Houston Dynamo FC 2",1008481,0,GK
"Christian Coreas (1008501)",58,"MLS Next Pro","Ventura County FC",1008501,1,RW
"Christian Díaz (1008508)",67,"MLS","Los Angeles FC 2",1008508,1,CB
"Christian Díaz (1008508)",58,"MLS Next Pro","Carolina Core FC",1008508,1,CB
"Julian Eyestone (1008553)",64,"MLS Next Pro","North Texas SC",1008553,0,GK
"Joshua Santiago (1008506)",67,"MLS","Los Angeles FC 2",1008506,1,RB
"Joshua Santiago (1008506)",67,"MLS","Los Angeles FC",1008506,1,RB
"Brian Alanís (1008551)",67,"MLS","Houston Dynamo FC 2",1008551,0,LB
"Francesco Di Ponzio (1008524)",72,"MLS","New York City FC II",1008524,0,CDM
"Tino Vásquez (1008933)",58,"USL League One","Forward Madison FC",1008933,1,RM
"Nick Bishop (1008935)",60,"MLS Next Pro","St. Louis CITY SC 2",1008935,0,GK
"Gustavo Gonzalez (1008936)",58,"MLS Next Pro","Ventura County FC",1008936,1,LB
"Oliver Stafford (1009205)",67,"MLS","New York City FC II",1009205,0,CB
"Ashton Gordon (1009724)",67,"MLS","Atlanta United 2",1009724,1,RW
"Ashton Gordon (1009724)",67,"MLS","Atlanta United FC",1009724,1,RW
"Drew Baiera (1009730)",67,"MLS","New York City FC",1009730,1,RB
"Drew Baiera (1009730)",67,"MLS","New York City FC II",1009730,1,RB
"Oliver Hernandez (1009727)",60,"MLS Next Pro","The Town FC",1009727,0,CM
"Cavan Sullivan (1009732)",67,"MLS","Philadelphia Union",1009732,1,CAM
"Cavan Sullivan (1009732)",82,"MLS","Philadelphia Union II",1009732,1,CAM
"Kellan LeBlanc (1009733)",82,"MLS","Philadelphia Union II",1009733,0,CAM
"Ervin Torres (1010296)",67,"MLS","Austin FC",1010296,1,CM
"Ervin Torres (1010296)",82,"MLS","Austin FC II",1010296,1,CM
"Rafael Romo (101031)",71,"MLS","D.C. United",101031,0,GK
"David Vazquez (1010300)",67,"MLS","San Diego FC",1010300,1,RM
"David Vazquez (1010300)",77,"MLS","Philadelphia Union II",1010300,1,RM
"David Vazquez (1010300)",67,"MLS","Philadelphia Union",1010300,1,RM
"Adrian Wibowo (1010640)",67,"MLS","Los Angeles FC",1010640,1,RW
"Adrian Wibowo (1010640)",82,"MLS","Los Angeles FC 2",1010640,1,RW
"Juan Martinez-Bastidas (1010635)",58,"MLS Next Pro","Crown Legacy FC",1010635,0,GK
"Juan Martinez-Bastidas (1010635)",58,"USL League One","Greenville Triumph SC",1010635,0,GK
"Bryan Destin (1010644)",67,"MLS","Inter Miami CF II",1010644,0,CF
"Brandon Téllez (1010852)",61,"MLS Next Pro","Los Angeles Galaxy II",1010852,0,CM
"Brandon Téllez (1010852)",62,"USL Championship","Los Angeles Galaxy II",1010852,0,CM
"Nacho Alem (1010853)",62,"USL Championship","Loudoun United FC",1010853,0,LW
"Drew Murray (1010903)",62,"USL Championship","Oakland Roots SC",1010903,1,CB
"Drew Murray (1010903)",67,"MLS","San Jose Earthquakes II",1010903,1,CB
"DeCarlo Guerra (1010904)",82,"MLS","Los Angeles FC 2",1010904,1,CDM
"Lazar Stefanović (1010899)",67,"MLS","Toronto FC",1010899,1,CB
"Lazar Stefanović (1010899)",67,"MLS","Toronto FC II",1010899,1,CB
"Harbor Miller (1010906)",58,"MLS Next Pro","Ventura County FC",1010906,1,RB
"Nicholas McHenry (1010910)",67,"MLS","FC Cincinnati 2",1010910,0,CB
"Ryder Mills (1010911)",79,"MLS","FC Cincinnati 2",1010911,0,LW
"Markus Cimermancic (1010912)",67,"MLS","Toronto FC",1010912,1,CM
"Markus Cimermancic (1010912)",73,"MLS","Toronto FC II",1010912,1,CM
"Leonardo Flores (1011115)",76,"MLS","Los Angeles FC 2",1011115,0,CF
"Leonardo Flores (1011115)",67,"MLS","Los Angeles FC",1011115,0,CF
"Chance Cowell (1011269)",66,"MLS Next Pro","The Town FC",1011269,0,LW
"Ignacio Gutiérrez (1012235)",71,"MLS","Minnesota United FC 2",1012235,0,CM
"Malachi Molina (1013474)",58,"MLS Next Pro","North Texas SC",1013474,0,RB
"Alejandro Urzua (1013473)",61,"MLS Next Pro","North Texas SC",1013473,0,CM
"Stanislav Lapkes (1013475)",69,"MLS","Columbus Crew 2",1013475,1,GK
"Stanislav Lapkes (1013475)",67,"MLS","Columbus Crew",1013475,1,GK
"Adrián Pelayo (1013477)",58,"MLS Next Pro","Whitecaps FC 2",1013477,1,CB
"Adrián Pelayo (1013477)",67,"MLS","Vancouver Whitecaps FC",1013477,1,CB
"Adrián Pelayo (1013477)",62,"USL Championship","North Carolina FC",1013477,1,CB
"Adrián Pelayo (1013477)",67,"MLS","Portland Timbers 2",1013477,1,CB
"Keegan Walker (1013480)",67,"MLS","Toronto FC II",1013480,0,LW
"Sebastián Rodríguez (1015089)",76,"MLS","Houston Dynamo FC 2",1015089,0,CM
"Sebastián Rodríguez (1015089)",67,"MLS","Houston Dynamo FC",1015089,0,CM
"Baltasar Rodríguez (1015246)",67,"MLS","Inter Miami CF",1015246,1,CAM
"Nick Pariano (1015647)",78,"MLS","Philadelphia Union II",1015647,1,CDM
"Nick Pariano (1015647)",67,"MLS","Philadelphia Union",1015647,1,CDM
"Nick Fernandez (1015639)",73,"MLS Next Pro","The Town FC",1015639,1,CDM
"Nick Fernandez (1015639)",67,"MLS","San Jose Earthquakes",1015639,1,CDM
"Peyton Miller (1016918)",67,"MLS","New England Revolution",1016918,1,LB
"Peyton Miller (1016918)",67,"MLS","New England Revolution II",1016918,1,LB
"Kisa Kiingi (1017161)",67,"MLS","Minnesota United FC 2",1017161,1,RB
"Kisa Kiingi (1017161)",67,"MLS","Minnesota United FC",1017161,1,RB
"Cole Aman (1017962)",67,"MLS","Portland Timbers 2",1017962,0,CM
"Timothy Syrel (1017960)",62,"USL Championship","Oakland Roots SC",1017960,1,GK
"Diego Rosas (1018734)",67,"MLS","Houston Dynamo FC 2",1018734,0,RW
"Kelsey Egwu (1019368)",67,"MLS","Toronto FC II",1019368,0,CB
"Wayne Frederick (1019470)",67,"MLS","Colorado Rapids",1019470,1,CM
"Wayne Frederick (1019470)",67,"MLS","Colorado Rapids 2",1019470,1,CM
"Joshua Head (1019834)",58,"USL League One","Lexington SC",1019834,0,CF
"Joshua Head (1019834)",69,"MLS","FC Cincinnati 2",1019834,0,CF
"",70,"MLS","Inter Miami CF II",1020589,0,CF
"Jose Luna (1021168)",62,"USL Championship","Rio Grande Valley FC Toros",1021168,1,CAM
"Alex Chow (1021801)",66,"MLS Next Pro","The Town FC",1021801,0,CM
"Alex Chow (1021801)",67,"MLS","San Jose Earthquakes II",1021801,0,CM
"Luca Langoni (1022383)",74,"MLS","New England Revolution",1022383,1,RW
"Fabian Rodriguez (1022769)",61,"NISA","Georgia Lions FC",1022769,1,CAM
"Fabian Rodriguez (1022769)",58,"NISA","Chattanooga FC",1022769,1,CAM
"Eddy Davis III (1022814)",82,"MLS","Philadelphia Union II",1022814,1,CF
"Eddy Davis III (1022814)",67,"MLS","Philadelphia Union",1022814,1,CF
"Eddy Davis III (1022814)",67,"MLS","New York Red Bulls II",1022814,1,CF
"Erick Ruiz (1022818)",55,"USL League 2","FC Motown STA",1022818,1,RM
"Erick Ruiz (1022818)",67,"MLS","New York Red Bulls II",1022818,1,RM
"Jackson Lindimore (1022803)",67,"MLS","Columbus Crew 2",1022803,0,CB
"David Díaz (1023035)",58,"MLS Next Pro","Ventura County FC",1023035,1,LW
"David Díaz (1023035)",58,"USL League One","Central Valley Fuego FC",1023035,1,LW
"Drake Hadeed (1023183)",61,"MLS Next Pro","Carolina Core FC",1023183,1,CF
"Dylan Lacy (1023416)",58,"MLS Next Pro","North Texas SC",1023416,1,CAM
"Jesus Orejuela (1023412)",58,"MLS Next Pro","Carolina Core FC",1023412,1,CM
"Jesus Orejuela (1023412)",67,"MLS","Houston Dynamo FC 2",1023412,1,CM
"Parker Jackson (1023413)",67,"MLS","Houston Dynamo FC 2",1023413,0,CM
"Ryan Zellefrow (1023415)",67,"MLS","Philadelphia Union II",1023415,0,CF
"Ryan Zellefrow (1023415)",67,"MLS","Portland Timbers 2",1023415,0,CF
"Mason Grimm (1023417)",58,"MLS Next Pro","North Texas SC",1023417,0,CB
"Jayden Reid (1024533)",58,"MLS Next Pro","St. Louis CITY SC 2",1024533,1,LB
"Jayden Reid (1024533)",67,"MLS","New York Red Bulls II",1024533,1,LB
"Jayden Reid (1024533)",67,"MLS","New York Red Bulls",1024533,1,LB
"Mauricio Pereyra (102452)",67,"MLS","Orlando City SC",102452,1,CAM
"Ousman Touray (1025280)",67,"MLS Next Pro","Real Monarchs SLC",1025280,0,CF
"Ousman Touray (1025280)",67,"MLS","FC Cincinnati 2",1025280,0,CF
"Javier Bedolla-Vera (1026241)",62,"USL Championship","Oakland Roots SC",1026241,1,CDM
"Derek Cuevas (1026922)",64,"MLS Next Pro","Carolina Core FC",1026922,1,RM
"Toni Tiente (1027494)",73,"MLS","Atlanta United 2",1027494,0,CM
"Alexander Yagudayev (1029288)",67,"MLS","New York City FC II",1029288,1,GK
"Giuseppe Ciampa (1029549)",67,"MLS","New England Revolution II",1029549,0,CDM
"Alexandru Pârvu (1029548)",67,"MLS","New England Revolution II",1029548,0,RB
"Dominic Gasso (1030417)",62,"USL Championship","Detroit City FC",1030417,1,CB
"Dominic Gasso (1030417)",58,"MLS Next Pro","Huntsville City FC",1030417,1,CB
"Terrence Boyd (103064)",67,"MLS","Toronto FC",103064,0,CF
"Matthew Dreas (1031615)",69,"MLS","FC Cincinnati 2",1031615,0,CM
"Raul Vazquez (1031640)",62,"USL Championship","El Paso Locomotive FC",1031640,1,CB
"Vlad Dănciuțiu (1031661)",73,"MLS","Austin FC II",1031661,0,CF
"Marko Stojadinovic (1031810)",67,"MLS","Toronto FC II",1031810,0,RB
"Luca Sowinski (1033173)",58,"USL League One","Charlotte Independence",1033173,1,CAM
"Luca Sowinski (1033173)",71,"USL Championship","FC Tulsa",1033173,1,CAM
"Yahir Paez (1033159)",58,"USL League One","Chattanooga Red Wolves SC",1033159,1,RW
"Christian Metelitsa (1034750)",58,"MLS Next Pro","The Town FC",1034750,0,CB
"Christian Metelitsa (1034750)",67,"MLS","San Jose Earthquakes II",1034750,0,CB
"Noah Betancourt (1034755)",67,"MLS","Houston Dynamo FC 2",1034755,0,CB
"Duncan Jarvie (1035214)",61,"MLS Next Pro","Real Monarchs SLC",1035214,0,CM
"Duncan Jarvie (1035214)",62,"USL Championship","Colorado Springs Switchbacks FC",1035214,0,CM
"Djakaría Barro (1036044)",69,"MLS","Austin FC II",1036044,0,CM
"Luca Bellisomo (103601)",67,"MLS","Vancouver Whitecaps FC",103601,0,CM
"Randy Edwini-Bonsu (103605)",67,"MLS","Vancouver Whitecaps FC",103605,0,RW
"Marcus Haber (103607)",74,"MLS","Vancouver Whitecaps FC",103607,0,CF
"Takashi Hirano (103608)",67,"MLS","Vancouver Whitecaps FC",103608,0,ST
"Wes Knight (103613)",67,"MLS","Vancouver Whitecaps FC",103613,0,RB
"Ethan Gage (103606)",67,"MLS","Vancouver Whitecaps FC",103606,0,CM
"Alex Semenets (103625)",67,"MLS","Vancouver Whitecaps FC",103625,0,CF
"Dever Orgill (103621)",67,"MLS","Vancouver Whitecaps FC",103621,0,CF
"Russell Teibert (103627)",67,"MLS","Vancouver Whitecaps FC",103627,1,CDM
"Simon Thomas (103630)",67,"MLS","Vancouver Whitecaps FC",103630,0,GK
"Ansu Touré (103631)",73,"MLS","Vancouver Whitecaps FC",103631,0,RW
"Ansu Touré (103631)",64,"USL Championship","Miami FC",103631,0,RW
"Danny Wilson (103819)",67,"MLS","Colorado Rapids",103819,1,CB
"Danny Wilson (103819)",67,"MLS","Colorado Rapids 2",103819,1,CB
"David Carney (10387)",67,"MLS","New York Red Bulls",10387,0,LM
"David Carney (10387)",67,"MLS","New York Red Bulls Reserves",10387,0,LM
"Carlito Saylon (1039077)",69,"MLS","Sporting Kansas City II",1039077,0,GK
"Rafael Cabral (103916)",79,"MLS","Real Salt Lake City",103916,1,GK
"Derek Lozano-Villa (1039277)",62,"USL Championship","New Mexico United",1039277,0,LW
"MyKhi Joyner (1039275)",73,"MLS Next Pro","St. Louis CITY SC 2",1039275,1,LM
"Steban Lopera (1039684)",67,"MLS","New England Revolution II",1039684,0,RB
"Ereku Temitayo (1039801)",58,"USL League One","Forward Madison FC",1039801,1,CDM
"Ereku Temitayo (1039801)",62,"USL Championship","Birmingham Legion FC",1039801,1,CDM
"Olger Escobar (1039953)",72,"MLS","CF Montréal",1039953,1,CAM
"Olger Escobar (1039953)",70,"MLS","New England Revolution II",1039953,1,CAM
"Brooklyn Schwarz (1041307)",67,"MLS","New York Red Bulls II",1041307,0,CB
"Loïc Mesanvi (1042556)",67,"MLS","Minnesota United FC",1042556,1,LW
"Loïc Mesanvi (1042556)",79,"MLS","Minnesota United FC 2",1042556,1,LW
"Jonathan Shore (1042945)",70,"MLS","New York City FC",1042945,1,CM
"Jonathan Shore (1042945)",67,"MLS","New York City FC II",1042945,1,CM
"Óscar Benítez (1044572)",67,"MLS","Philadelphia Union II",1044572,0,CDM
"Óscar Benítez (1044572)",58,"MLS Next Pro","St. Louis CITY SC 2",1044572,0,CDM
"Jackson Simba Kasanzu (1045072)",58,"USL League One","South Georgia Tormenta FC",1045072,1,CB
"Jackson Simba Kasanzu (1045072)",62,"USL Championship","San Diego Loyal SC (- 2023)",1045072,1,CB
"Brian Chavez (1045607)",62,"USL Championship","Loudoun United FC",1045607,1,CAM
"Cole Mrowka (1046042)",65,"USL Championship","Colorado Springs Switchbacks FC",1046042,1,CM
"Cole Mrowka (1046042)",69,"MLS","Columbus Crew 2",1046042,1,CM
"Cole Mrowka (1046042)",67,"MLS","Columbus Crew",1046042,1,CM
"Otavio Zerbini (1046864)",58,"USL League One","Charlotte Independence",1046864,1,CB
"Otavio Zerbini (1046864)",58,"USL League One","Richmond Kickers",1046864,1,CB
"Ibrahim Janis Covi (1046942)",58,"MLS Next Pro","Carolina Core FC",1046942,1,CB
"Sawyer Jura (1046965)",67,"MLS","Portland Timbers 2",1046965,1,RB
"Sawyer Jura (1046965)",67,"MLS","Portland Timbers",1046965,1,RB
"Ezequiel Abadia-Reda (1046966)",67,"MLS","Inter Miami CF II",1046966,1,LB
"Ezequiel Abadia-Reda (1046966)",67,"MLS","Inter Miami CF",1046966,1,LB
"Nicholas Almeida (1046973)",67,"MLS","Inter Miami CF II",1046973,1,CB
"Blake Willey (1046970)",68,"USL Championship","Sacramento Republic FC",1046970,1,CM
"Nolan Anderson (1046968)",58,"MLS Next Pro","Ventura County FC",1046968,1,GK
"Nolan Anderson (1046968)",58,"MLS Next Pro","Los Angeles Galaxy II",1046968,1,GK
"Noah Santos (1046969)",75,"MLS","Portland Timbers 2",1046969,1,CF
"Noah Santos (1046969)",67,"MLS","Portland Timbers",1046969,1,CF
"Leo Orejarena (1046971)",58,"MLS Next Pro","North Texas SC",1046971,0,CAM
"Batuhan Arıcı (1047576)",67,"MLS","Austin FC II",1047576,0,LB
"Jared Mazzola (1048569)",62,"USL Championship","Sacramento Republic FC",1048569,1,GK
"Jared Mazzola (1048569)",58,"USL League One","Greenville Triumph SC",1048569,1,GK
"Jonah Biggar (1049097)",58,"USL League One","Greenville Triumph SC",1049097,1,LB
"Tyler Morck (1049106)",69,"MLS","New York City FC II",1049106,0,CM
"Zakaria Taifi (1049104)",67,"MLS","Orlando City SC",1049104,1,CDM
"Zakaria Taifi (1049104)",69,"MLS Next Pro","Orlando City B",1049104,1,CDM
"JD Myers (1049099)",58,"USL League One","Chattanooga Red Wolves SC",1049099,0,GK
"Nayrobi Vargas (1050212)",64,"MLS Next Pro","North Texas SC",1050212,0,CF
"Allen Obando (1050373)",67,"MLS","Inter Miami CF",1050373,1,CF
"Etsgar Cruz (1050887)",62,"USL Championship","Oakland Roots SC",1050887,1,CAM
"Edwin Rodriguez (1050890)",62,"USL Championship","Oakland Roots SC",1050890,1,GK
"Damario McIntosh (1050888)",67,"MLS","New England Revolution II",1050888,1,RB
"Damario McIntosh (1050888)",67,"MLS","New England Revolution",1050888,1,RB
"Damario McIntosh (1050888)",62,"USL Championship","Oakland Roots SC",1050888,1,RB
"Alexander Hauschild (1051384)",67,"MLS","New York City FC II",1051384,1,CB
"Dom Dwyer (105185)",62,"USL Championship","Oakland Roots SC",105185,0,CF
"Dom Dwyer (105185)",79,"MLS","Atlanta United FC",105185,0,CF
"Dom Dwyer (105185)",67,"MLS","Toronto FC",105185,0,CF
"Dom Dwyer (105185)",69,"MLS","Orlando City SC",105185,0,CF
"Dom Dwyer (105185)",82,"MLS","Sporting Kansas City",105185,0,CF
"Dom Dwyer (105185)",73,"MLS","Sporting Kansas City Reserves",105185,0,CF
"Justin Stewart (1052510)",58,"MLS Next Pro","North Texas SC",1052510,0,GK
"Justin Stewart (1052510)",69,"MLS","Houston Dynamo FC 2",1052510,0,GK
"Adriel Padilla (1052737)",62,"USL Championship","San Antonio FC",1052737,1,CB
"Eduardo Fernandez (1052739)",62,"USL Championship","San Antonio FC",1052739,1,CF
"Julian Hall (1054470)",69,"MLS","New York Red Bulls",1054470,1,CF
"Julian Hall (1054470)",78,"MLS","New York Red Bulls II",1054470,1,CF
"Zach Molomo (1054478)",58,"MLS Next Pro","North Texas SC",1054478,0,CB
"Christopher Cupps (1054471)",67,"MLS","Chicago Fire FC",1054471,1,CB
"Christopher Cupps (1054471)",67,"MLS","Chicago Fire FC II",1054471,1,CB
"Marius Aiyenero (1054480)",70,"MLS","Los Angeles FC 2",1054480,1,CF
"Ethan Scally (1054491)",67,"MLS","Los Angeles FC 2",1054491,1,GK
"Gianmarco Alvarez (1054485)",67,"MLS","Houston Dynamo FC 2",1054485,0,GK
"Cooper Sanchez (1054467)",71,"MLS","Atlanta United 2",1054467,1,CM
"Cooper Sanchez (1054467)",67,"MLS","Atlanta United FC",1054467,1,CM
"Enrique Martinez (1054892)",58,"MLS Next Pro","Ventura County FC",1054892,1,CB
"Isaiah Goldson (1055796)",67,"MLS","Toronto FC II",1055796,0,GK
"Gustavo Caraballo (1056807)",67,"MLS Next Pro","Orlando City B",1056807,1,RW
